start_date,end_date,content_text,category,facet,year,placement,nationality,venue,location,state,score,margin,from_par,prize
1935,,21st place,Placed,"Wood, Craig",1935,21,United States,,,,,,,
1936,,66th place,Placed,"Wood, Craig",1936,66,United States,,,,,,,
1937,,36th place,Placed,"Wood, Craig",1937,36,United States,,,,,,,
1939,,2nd place,Placed,"Wood, Craig",1939,2,United States,,,,,,,
1940,,4th place,Placed,"Wood, Craig",1940,4,United States,,,,,,,
1941,,"Craig Wood wins at Colonial Country Club (Fort Worth, Texas) with a score of 284 (+4) and by a margin of 3 strokes, earning $1,000.",Victory,"Wood, Craig",1941,1,United States,Colonial Country Club,"Fort Worth, Texas",Texas,284,3,4,"1,000.00"
1946,,Cut from tournament,Cut,"Wood, Craig",1946,,United States,,,,,,,
1948,,Cut from tournament,Cut,"Wood, Craig",1948,,United States,,,,,,,
1949,,27th place,Placed,"Wood, Craig",1949,27,United States,,,,,,,
1950,,Cut from tournament,Cut,"Wood, Craig",1950,,United States,,,,,,,
1951,,47th place,Placed,"Wood, Craig",1951,47,United States,,,,,,,
1968,,Died: 1968,Died,"Wood, Craig",1968,,United States,,,,,,,
1975,,Born: 1975,Born,"Woods, Tiger",1975,,United States,,,,,,,
1995,,Withdrew from tournament,Withdrew,"Woods, Tiger",1995,,United States,,,,,,,
1996,,82nd place,Placed,"Woods, Tiger",1996,82,United States,,,,,,,
1997,,19th place,Placed,"Woods, Tiger",1997,19,United States,,,,,,,
1998,,18th place,Placed,"Woods, Tiger",1998,18,United States,,,,,,,
1999,,3rd place,Placed,"Woods, Tiger",1999,3,United States,,,,,,,
2000,,"Tiger Woods wins at Pebble Beach Golf Links (Pebble Beach, California) with a score of 272 (-12) and by a margin of 15 strokes, earning $800,000.",Victory,"Woods, Tiger",2000,1,United States,Pebble Beach Golf Links,"Pebble Beach, California",California,272,15,-12,"800,000.00"
2001,,12th place,Placed,"Woods, Tiger",2001,12,United States,,,,,,,
2002,,"Tiger Woods wins for the 2nd time at Bethpage State Park, Black Course (Farmingdale, New York) with a score of 277 (-3) and by a margin of 3 strokes, earning $1,000,000.",Victory,"Woods, Tiger",2002,1,United States,"Bethpage State Park, Black Course","Farmingdale, New York",New York,277,3,-3,"1,000,000.00"
2003,,20th place,Placed,"Woods, Tiger",2003,20,United States,,,,,,,
2004,,17th place,Placed,"Woods, Tiger",2004,17,United States,,,,,,,
2005,,2nd place,Placed,"Woods, Tiger",2005,2,United States,,,,,,,
2006,,Cut from tournament,Cut,"Woods, Tiger",2006,,United States,,,,,,,
2007,,2nd place,Placed,"Woods, Tiger",2007,2,United States,,,,,,,
2008,,"Tiger Woods wins for the 3rd time at Torrey Pines Golf Course, South Course (La Jolla, California) with a score of 283 (-1) in a playoff, earning $1,350,000.",Victory,"Woods, Tiger",2008,1,United States,"Torrey Pines Golf Course, South Course","La Jolla, California",California,283,0,-1,"1,350,000.00"
2009,,6th place,Placed,"Woods, Tiger",2009,6,United States,,,,,,,
2010,,4th place,Placed,"Woods, Tiger",2010,4,United States,,,,,,,
2012,,21st place,Placed,"Woods, Tiger",2012,21,United States,,,,,,,
2013,,32nd place,Placed,"Woods, Tiger",2013,32,United States,,,,,,,
2015,,Cut from tournament,Cut,"Woods, Tiger",2015,,United States,,,,,,,
1917,,Born: 1917,Born,"Worsham, Lew",1917,,United States,,,,,,,
1938,,Withdrew from tournament,Withdrew,"Worsham, Lew",1938,,United States,,,,,,,
1940,,Cut from tournament,Cut,"Worsham, Lew",1940,,United States,,,,,,,
1941,,Cut from tournament,Cut,"Worsham, Lew",1941,,United States,,,,,,,
1946,,22nd place,Placed,"Worsham, Lew",1946,22,United States,,,,,,,
1947,,"Lew Worsham wins at St. Louis Country Club (Ladue, Missouri) with a score of 282 (-2) in a playoff, earning $2,500.",Victory,"Worsham, Lew",1947,1,United States,St. Louis Country Club,"Ladue, Missouri",Missouri,282,0,-2,"2,500.00"
1948,,6th place,Placed,"Worsham, Lew",1948,6,United States,,,,,,,
1949,,27th place,Placed,"Worsham, Lew",1949,27,United States,,,,,,,
1950,,Cut from tournament,Cut,"Worsham, Lew",1950,,United States,,,,,,,
1951,,14th place,Placed,"Worsham, Lew",1951,14,United States,,,,,,,
1952,,7th place,Placed,"Worsham, Lew",1952,7,United States,,,,,,,
1953,,Cut from tournament,Cut,"Worsham, Lew",1953,,United States,,,,,,,
1954,,23rd place,Placed,"Worsham, Lew",1954,23,United States,,,,,,,
1955,,Cut from tournament,Cut,"Worsham, Lew",1955,,United States,,,,,,,
1956,,Cut from tournament,Cut,"Worsham, Lew",1956,,United States,,,,,,,
1957,,38th place,Placed,"Worsham, Lew",1957,38,United States,,,,,,,
1958,,45th place,Placed,"Worsham, Lew",1958,45,United States,,,,,,,
1961,,Cut from tournament,Cut,"Worsham, Lew",1961,,United States,,,,,,,
1990,,Died: 1990,Died,"Worsham, Lew",1990,,United States,,,,,,,
1951,,Born: 1951,Born,"Zoeller, Fuzzy",1951,,United States,,,,,,,
1976,,38th place,Placed,"Zoeller, Fuzzy",1976,38,United States,,,,,,,
1977,,44th place,Placed,"Zoeller, Fuzzy",1977,44,United States,,,,,,,
1978,,Cut from tournament,Cut,"Zoeller, Fuzzy",1978,,United States,,,,,,,
1979,,Cut from tournament,Cut,"Zoeller, Fuzzy",1979,,United States,,,,,,,
1980,,53rd place,Placed,"Zoeller, Fuzzy",1980,53,United States,,,,,,,
1982,,15th place,Placed,"Zoeller, Fuzzy",1982,15,United States,,,,,,,
1983,,Cut from tournament,Cut,"Zoeller, Fuzzy",1983,,United States,,,,,,,
1984,,"Fuzzy Zoeller wins at Winged Foot Golf Club, West Course (Mamaroneck, New York) with a score of 276 (-4) in a playoff, earning $94,000.",Victory,"Zoeller, Fuzzy",1984,1,United States,"Winged Foot Golf Club, West Course","Mamaroneck, New York",New York,276,0,-4,"94,000.00"
1985,,9th place,Placed,"Zoeller, Fuzzy",1985,9,United States,,,,,,,
1986,,15th place,Placed,"Zoeller, Fuzzy",1986,15,United States,,,,,,,
1987,,Cut from tournament,Cut,"Zoeller, Fuzzy",1987,,United States,,,,,,,
1988,,8th place,Placed,"Zoeller, Fuzzy",1988,8,United States,,,,,,,
1989,,Cut from tournament,Cut,"Zoeller, Fuzzy",1989,,United States,,,,,,,
1990,,8th place,Placed,"Zoeller, Fuzzy",1990,8,United States,,,,,,,
1991,,5th place,Placed,"Zoeller, Fuzzy",1991,5,United States,,,,,,,
1992,,Cut from tournament,Cut,"Zoeller, Fuzzy",1992,,United States,,,,,,,
1993,,68th place,Placed,"Zoeller, Fuzzy",1993,68,United States,,,,,,,
1994,,58th place,Placed,"Zoeller, Fuzzy",1994,58,United States,,,,,,,
1995,,21st place,Placed,"Zoeller, Fuzzy",1995,21,United States,,,,,,,
1997,,28th place,Placed,"Zoeller, Fuzzy",1997,28,United States,,,,,,,
1998,,Cut from tournament,Cut,"Zoeller, Fuzzy",1998,,United States,,,,,,,
1999,,Cut from tournament,Cut,"Zoeller, Fuzzy",1999,,United States,,,,,,,
